5000	660	616	613	611	621	625	629	623	612	606
6000	433	425	424	422	422	429	424	424	427	421
7000	494	493	492	487	487	486	486	488	485	485
8000	596	591	587	590	586	586	586	585	589	585
9000	680	677	670	669	669	668	670	668	668	667
10000	760	745	747	739	1607	1606	1590	1590	1594	1581
20000	1586	1591	1588	1581	1575	1578	1575	1581	1575	1575
30000	2580	2579	2563	2561	2580	2575	2573	2578	2575	2576
40000	3569	3574	3569	3554	3600	3607	3569	3561	3972	3568
50000	4438	4425	4421	4473	4420	9028	8926	8918	8895	8885
60000	5503	5496	5491	5469	5930	5310	5349	5399	6104	6032
70000	6359	6329	6303	12886	13008	12911	10932	8726	6537	6503
80000	7383	7417	7416	7384	7737	7522	7621	7732	7665	7728
