5000	20399	13491	13115	13120	14102	13077	13390	13298	13007	13021
6000	39532	25749	18160	18305	18159	18319	18167	18164	18191	18204
7000	48299	26833	26094	26298	26352	26352	26386	26251	26133	25800
8000	35140	34046	34153	33903	33864	33975	33956	34171	33850	33899
9000	64889	42089	42084	43425	42306	42115	42216	42485	42245	42013
10000	81750	50602	50898	50922	50639	50658	50660	50623	50700	50628
20000	225128	213407	237878	210045	210273	210292	210100	210171	210033	210228
30000	477286	464910	500115	470249	470067	470873	470782	470884	470713	470478
40000	810198	804803	834685	802399	802295	802274	802722	802130	805002	807500
50000	1255804	1255122	1325827	1309854	1293479	1292855	1288664	1287969	1289968	1288017
60000	1887856	1867832	1861564	1862724	1874335	1859324	1838625	1800065	1807350	1792347
70000	2484543	2489244	2470263	2452494	2444775	2450486	2466324	2504385	2474423	2463778
80000	3217491	3193612	3203008	3230056	3163610	3185428	3216768	3192011	3227647	3306983
