5000	384	398	386	377	376	376	376	376	377	376
6000	500	486	462	481	490	489	496	486	467	483
7000	559	549	548	555	545	546	560	557	557	544
8000	653	644	641	644	641	640	641	639	644	517
9000	720	717	720	722	717	717	716	716	721	718
10000	836	816	820	812	857	1010	864	863	862	869
20000	1757	1783	1815	1748	1744	1791	1746	1754	1756	1750
30000	2741	2740	2725	2729	2729	2730	2727	2732	2736	2740
40000	3689	3911	4244	3967	3940	3992	3940	4213	3919	3924
50000	5368	5114	5286	5202	5125	5130	4814	4356	4348	4285
60000	6071	5793	5781	5783	5792	5793	5780	5016	6060	5803
70000	6856	6751	6984	6835	6750	6762	6775	6749	5547	5320
80000	7272	8454	8276	8136	8232	7804	6393	5907	4102	8267
